OrderDate,Region,Product,Category,UnitsSold,UnitPrice,Revenue,Cost,Profit,OnTimeDelivery
2024-09-14,East,Product_A,Furniture,28,281.63,7885.639999999999,4987.345174854987,2898.2948251450125,0
2024-09-16,South,Product_D,Furniture,154,44.88,6911.52,4549.925030841644,2361.5949691583564,0
2024-09-20,East,Product_D,Electronics,36,199.19,7170.84,4391.861083941528,2778.9789160584724,0
2024-09-21,East,Product_B,Furniture,119,200.2,23823.8,12751.876539390518,11071.923460609481,0
2024-09-26,North,Product_D,Electronics,74,351.4,26003.6,18429.391182664116,7574.2088173358825,1
2024-09-27,West,Product_C,Office Supplies,192,370.18,71074.56,47996.24478649114,23078.31521350886,1
2024-09-27,West,Product_C,Office Supplies,99,225.1,22284.899999999998,13277.21174470159,9007.688255298408,1
2024-09-27,South,Product_D,Office Supplies,180,242.0,43560.0,34673.40601185336,8886.59398814664,0
2024-09-30,South,Product_D,Electronics,24,324.79,7794.960000000001,5049.4778948829235,2745.4821051170775,0
2024-10-03,South,Product_C,Electronics,90,184.43,16598.7,9011.392809867122,7587.3071901328785,0
2024-10-06,North,Product_D,Office Supplies,120,176.99,21238.800000000003,13573.91930485179,7664.880695148213,1
2024-10-20,West,Product_A,Office Supplies,36,215.6,7761.599999999999,4697.898588427264,3063.701411572735,1
2024-10-22,South,Product_D,Furniture,64,377.8,24179.2,18983.65680673518,5195.543193264821,1
2024-10-27,West,Product_D,Electronics,148,452.25,66933.0,44231.261426553305,22701.738573446695,0
2024-10-30,North,Product_A,Furniture,58,439.96,25517.68,17562.987880699853,7954.692119300147,0
2024-11-02,North,Product_B,Office Supplies,64,256.54,16418.56,12037.169980390874,4381.390019609127,1
2024-11-04,West,Product_C,Furniture,178,371.57,66139.45999999999,43973.39305938862,22166.066940611374,1
2024-11-05,North,Product_B,Office Supplies,62,166.3,10310.6,8226.718848060298,2083.8811519397022,1
2024-11-09,West,Product_D,Furniture,198,17.05,3375.9,2314.06270798481,1061.83729201519,0
2024-11-11,East,Product_C,Furniture,12,297.03,3564.3599999999997,2283.322573769455,1281.0374262305445,0
2024-11-15,South,Product_B,Furniture,156,193.56,30195.36,18506.06809156704,11689.291908432962,1
2024-11-22,East,Product_D,Electronics,128,166.82,21352.96,15062.791201488824,6290.168798511175,1
2024-11-24,East,Product_A,Office Supplies,40,89.84,3593.6000000000004,2773.922535482933,819.6774645170672,0
2024-11-26,North,Product_D,Electronics,132,86.65,11437.800000000001,8026.539479075386,3411.260520924615,1
2024-12-03,North,Product_C,Electronics,10,192.29,1922.8999999999999,1121.462883026326,801.4371169736739,0
2024-12-05,West,Product_C,Electronics,102,277.35,28289.7,19095.848206190738,9193.851793809263,1
2024-12-09,North,Product_B,Office Supplies,118,309.74,36549.32,28008.155272291475,8541.164727708525,1
2024-12-09,South,Product_C,Electronics,162,200.71,32515.02,25143.154686708294,7371.865313291706,0
2024-12-10,West,Product_B,Electronics,21,429.18,9012.78,4703.129090549723,4309.650909450278,1
2024-12-10,South,Product_C,Office Supplies,118,414.96,48965.28,36436.950300766875,12528.329699233123,0
2024-12-11,South,Product_D,Office Supplies,147,325.21,47805.869999999995,33213.753991686375,14592.11600831362,0
2024-12-14,West,Product_A,Furniture,185,142.71,26401.350000000002,13923.702451250278,12477.647548749725,0
2024-12-16,West,Product_C,Office Supplies,19,318.18,6045.42,3847.077493130518,2198.342506869482,1
2024-12-25,West,Product_B,Electronics,190,59.38,11282.2,5682.2387643036345,5599.961235696366,1
2024-12-25,South,Product_C,Electronics,58,360.15,20888.699999999997,15392.578949817778,5496.121050182219,0
2024-12-29,East,Product_B,Electronics,103,311.77,32112.309999999998,25181.65698920284,6930.653010797159,0
